-250.96618341431216,-478.4902656517182,-279.4620933430973,-153.99204192376075,-407.69527124653337,-364.7282245330152
-266.69383272918816,-471.38095928298003,-273.9460833231591,-137.47721098605723,-410.88861337461145,-369.0373960060841
-279.6909214525343,-445.7724296356187,-241.6751448974592,-119.14683587415941,-386.6050976051096,-362.73167554407655
-286.814437140604,-441.4561216884464,-225.13018416340995,-119.03397128573972,-388.76474646826625,-364.1352794145252
-295.5479131997083,-446.78036630878535,-225.04626565551624,-119.02006509931803,-399.14359784483935,-371.16413975424683
-305.5461149090601,-451.45894203998995,-225.2973822937005,-118.3697832964253,-405.54310346535857,-378.50252847452504
-305.9861235716245,-445.3061531968194,-219.10217961120603,-117.22178653573908,-402.1313931234878,-375.64613838422196
-304.8706199623622,-447.89086793565474,-213.91367132059824,-135.5070559453163,-408.36100833425934,-376.38074394900843
-326.9160452469157,-469.1626081037018,-234.30306122843587,-152.27811517739227,-441.1932876481215,-398.03932667530876
-324.25214723861217,-471.61807148569113,-233.3281040344259,-147.17200626524217,-437.13639275293536,-397.93510936215165
-327.4494045577086,-462.760406679265,-227.90374808756775,-139.6433542775305,-432.7820747909744,-395.1049056184868
-323.4285126404679,-460.4608627551314,-227.69295448812136,-137.41579339496226,-439.1649005739389,-391.9446876977996
-347.74524356185054,-477.28632427337783,-252.05471712239876,-173.4717507393354,-470.36968417031045,-412.51578391761416
-380.32911315359985,-503.29289023102467,-292.8102419128445,-179.01535833414334,-505.29043730186874,-441.8110016923123
-376.81980816315877,-498.19581128768584,-278.17908201090734,-189.37365853047314,-503.99973600265315,-437.5078097254223
-417.0387036921498,-521.0679079265506,-309.59619841003655,-203.72352506565986,-530.3384470632267,-469.05330580935015
-433.2141793835711,-518.530218207357,-321.859224095665,-192.94077421053183,-513.5531957831273,-475.8721987954641
-451.0641972461589,-512.4096278519934,-324.98972005717246,-190.85037433616264,-500.3849932166788,-481.7369125490761
-474.6577985406947,-513.4152884697855,-329.34182243347465,-198.3355656457738,-490.23462327561333,-494.03654350524016
-515.6550374358449,-550.9640609909478,-361.2448297983837,-225.73392349108033,-521.4710616209067,-533.3095492133964
-567.3747709361272,-589.4356394819231,-405.7408685251901,-242.34932237688676,-561.6746659607347,-578.4052052090251
-585.7934266252092,-610.1812811545205,-425.18774614461546,-251.49762375322953,-578.8072082324979,-597.9873538898648
-592.6283613545394,-612.0063014135942,-428.95485167440035,-239.84312940915396,-569.4761913006761,-602.3173313840668
-563.4111105287117,-586.3249450416395,-420.5989779357931,-223.90065478452019,-539.7133884386327,-574.8680277851756
-551.2070972414714,-568.2541462115057,-412.43795478312353,-226.2985944207507,-528.9159917047949,-559.7306217264886
-575.1357321019925,-587.1008179016878,-434.6282540486667,-244.09162247149132,-543.7271905457261,-581.1182750018402
-622.8794651946378,-601.7222469466271,-458.8908153889985,-257.4838878472644,-558.3382449500431,-612.3008560706324
-623.5631366725203,-589.5071771506512,-450.04863191731835,-246.48830460548382,-537.5035021376494,-606.5351569115858
-611.6812609744209,-553.2150721080806,-417.4533886922206,-235.02270255978883,-488.9901459800076,-582.4481665412507
-620.6906478558845,-536.9290011787828,-429.33400163777725,-218.35016656684854,-468.40547086307623,-578.8098245173337
-588.3177463201972,-506.54576429666616,-406.13888921101926,-191.9788932399747,-428.2077388291257,-547.4317553084317
-576.2730921238983,-502.00582833269914,-393.5629656066896,-186.37818241655805,-419.86437993558974,-539.1394602282987
-595.5061819573709,-530.4640305147615,-413.58722232055663,-198.44933804857703,-451.38540642962215,-562.9851062360663
-603.7110543631827,-544.7711029287073,-432.47047712198867,-192.26287664314071,-472.1251057977909,-574.241078645945
-564.1849678751345,-507.6431223773209,-405.9720828552243,-154.0108478418583,-435.61201176138064,-535.9140451262276
-524.9175570985125,-481.0423788744357,-372.81205292765276,-139.6160565054808,-406.82872697877224,-502.9799679864741
